Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,FieldGoalsAttempted,FieldGoals.,X3PointShots,X3PointShotsAttempted,X3PointShots.,FreeThrows,FreeThrowsAttempted,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.FieldGoalsAttempted,Opp.FieldGoals.,Opp.3PointShots,Opp.3PointShotsAttempted,Opp.3PointShots.,Opp.FreeThrows,Opp.FreeThrowsAttempted,Opp.FreeThrows.,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls,GameResult
BOS,69,22-03-2015,Home,DET,L,97,105,38,105,0.362,8,27,0.296,13,17,0.765,18,59,24,7,5,13,23,39,89,0.438,9,26,0.346,18,30,0.6,11,56,24,5,10,14,21,0
BOS,70,23-03-2015,Away,BRK,W,110,91,47,92,0.511,6,22,0.273,10,14,0.714,8,47,25,7,4,9,21,32,89,0.36,1,17,0.059,26,30,0.867,16,48,15,7,5,11,13,1
BOS,71,25-03-2015,Home,MIA,L,86,93,28,69,0.406,5,19,0.263,25,37,0.676,10,43,16,8,4,16,25,34,77,0.442,9,24,0.375,16,23,0.696,8,38,23,7,6,16,28,0
BOS,72,27-03-2015,Away,NYK,W,96,92,29,69,0.42,4,20,0.2,34,43,0.791,9,44,18,6,1,16,17,38,87,0.437,7,24,0.292,9,14,0.643,9,36,23,9,2,12,31,1
BOS,73,29-03-2015,Home,LAC,L,106,119,39,93,0.419,8,31,0.258,20,23,0.87,9,40,29,8,1,10,32,41,84,0.488,13,32,0.406,24,40,0.6,13,53,28,5,5,12,21,0
BOS,74,30-03-2015,Away,CHO,W,116,104,45,89,0.506,9,26,0.346,17,23,0.739,13,42,28,7,1,7,21,40,85,0.471,7,26,0.269,17,19,0.895,10,40,20,3,6,10,17,1
BOS,75,01-04-2015,Home,IND,W,100,87,39,86,0.453,6,27,0.222,16,18,0.889,7,46,29,9,2,10,23,34,81,0.42,6,15,0.4,13,23,0.565,8,39,17,5,3,12,20,1
BOS,76,03-04-2015,Home,MIL,L,101,110,39,88,0.443,8,24,0.333,15,16,0.938,9,41,19,7,2,16,20,45,85,0.529,9,24,0.375,11,18,0.611,9,45,31,10,6,18,20,0
BOS,77,04-04-2015,Away,TOR,W,117,116,47,97,0.485,8,26,0.308,15,22,0.682,12,44,26,10,4,15,28,40,83,0.482,6,23,0.261,30,38,0.789,9,46,15,7,4,16,22,1
BOS,78,08-04-2015,Away,DET,W,113,103,36,80,0.45,8,28,0.286,33,34,0.971,10,37,20,12,2,11,15,45,84,0.536,7,18,0.389,6,10,0.6,11,41,29,7,5,19,25,1
BOS,79,10-04-2015,Away,CLE,W,99,90,38,84,0.452,8,22,0.364,15,21,0.714,11,43,30,11,2,14,24,32,77,0.416,9,34,0.265,17,25,0.68,12,42,25,4,2,20,21,1
BOS,80,12-04-2015,Home,CLE,W,117,78,46,84,0.548,10,24,0.417,15,22,0.682,6,38,29,20,1,7,22,31,79,0.392,3,22,0.136,13,19,0.684,11,44,18,1,5,24,18,1
BOS,81,14-04-2015,Home,TOR,W,95,93,38,99,0.384,6,27,0.222,13,15,0.867,17,50,24,7,6,14,19,35,80,0.438,9,24,0.375,14,20,0.7,7,43,17,9,9,18,18,1
BOS,82,15-04-2015,Away,MIL,W,105,100,42,85,0.494,13,30,0.433,8,14,0.571,8,38,37,9,5,16,16,41,89,0.461,7,21,0.333,11,16,0.688,16,48,35,7,2,17,17,1
BRK,1,29-10-2014,Away,BOS,L,105,121,39,80,0.488,7,19,0.368,20,26,0.769,9,39,20,6,7,20,21,49,88,0.557,8,22,0.364,15,23,0.652,9,35,28,11,5,12,25,0
BRK,2,01-11-2014,Away,DET,W,102,90,42,87,0.483,7,26,0.269,11,13,0.846,12,48,18,3,3,8,23,32,76,0.421,1,17,0.059,25,35,0.714,10,41,21,3,3,7,15,1
BRK,3,03-11-2014,Home,OKC,W,116,85,44,84,0.524,11,23,0.478,17,19,0.895,9,42,25,11,3,8,21,32,82,0.39,8,23,0.348,13,21,0.619,15,44,14,3,3,17,17,1
BRK,4,05-11-2014,Home,MIN,L,91,98,36,82,0.439,8,21,0.381,11,17,0.647,7,42,17,6,5,18,22,37,90,0.411,7,17,0.412,17,22,0.773,13,51,22,9,4,11,21,0
BRK,5,07-11-2014,Home,NYK,W,110,99,38,74,0.514,14,24,0.583,20,26,0.769,7,42,18,6,6,16,24,37,90,0.411,8,19,0.421,17,21,0.81,15,43,22,7,2,14,24,1
BRK,6,09-11-2014,Home,ORL,W,104,96,40,83,0.482,4,14,0.286,20,23,0.87,14,45,23,10,5,14,21,39,75,0.52,8,15,0.533,10,16,0.625,5,31,25,7,2,17,24,1
BRK,7,12-11-2014,Away,PHO,L,104,112,35,74,0.473,9,21,0.429,25,32,0.781,8,37,17,9,4,19,25,39,81,0.481,8,24,0.333,26,29,0.897,12,44,20,10,2,20,22,0
BRK,8,13-11-2014,Away,GSW,L,99,107,39,89,0.438,3,16,0.188,18,20,0.9,7,41,19,5,2,12,22,41,90,0.456,11,34,0.324,14,21,0.667,14,45,30,7,10,10,16,0
BRK,9,15-11-2014,Away,POR,L,87,97,35,89,0.393,1,19,0.053,16,17,0.941,12,43,15,7,2,9,24,33,78,0.423,11,26,0.423,20,27,0.741,13,47,26,6,3,14,16,0
BRK,10,17-11-2014,Home,MIA,L,83,95,29,70,0.414,9,23,0.391,16,26,0.615,11,35,18,10,5,12,19,31,72,0.431,9,27,0.333,24,27,0.889,10,41,19,6,2,14,24,0
BRK,11,19-11-2014,Home,MIL,L,118,122,44,92,0.478,9,31,0.29,21,29,0.724,10,49,26,7,6,20,25,48,108,0.444,5,24,0.208,21,28,0.75,16,51,23,12,4,13,28,0
BRK,12,21-11-2014,Away,OKC,W,94,92,31,67,0.463,5,15,0.333,27,30,0.9,10,38,17,2,6,18,17,38,85,0.447,4,20,0.2,12,19,0.632,13,36,18,9,9,13,25,1
BRK,13,22-11-2014,Away,SAS,L,87,99,34,91,0.374,9,27,0.333,10,10,1,13,44,24,5,5,11,14,41,79,0.519,8,21,0.381,9,11,0.818,6,48,29,7,9,14,9,0
BRK,14,26-11-2014,Away,PHI,W,99,91,35,71,0.493,8,24,0.333,21,28,0.75,4,40,25,10,7,24,19,34,85,0.4,9,24,0.375,14,17,0.824,13,42,23,11,5,20,24,1
BRK,15,30-11-2014,Home,CHI,L,84,102,32,86,0.372,2,14,0.143,18,24,0.75,7,34,16,9,0,10,25,34,69,0.493,7,24,0.292,27,34,0.794,7,50,19,6,5,19,24,0
BRK,16,02-12-2014,Away,NYK,W,98,93,39,89,0.438,6,17,0.353,14,20,0.7,21,49,22,7,5,14,20,35,81,0.432,11,28,0.393,12,14,0.857,13,40,22,8,3,14,21,1
BRK,17,03-12-2014,Home,SAS,W,95,93,37,90,0.411,9,19,0.474,12,18,0.667,9,54,20,2,2,10,10,36,101,0.356,12,32,0.375,9,12,0.75,18,58,23,5,6,8,19,1
BRK,18,05-12-2014,Home,ATL,L,75,98,30,80,0.375,3,18,0.167,12,19,0.632,9,51,16,4,2,17,21,35,81,0.432,13,34,0.382,15,24,0.625,6,46,22,12,4,10,22,0
BRK,19,08-12-2014,Home,CLE,L,88,110,36,81,0.444,4,19,0.211,12,19,0.632,10,33,25,6,2,12,18,43,90,0.478,9,25,0.36,15,22,0.682,20,55,25,10,5,13,17,0
BRK,20,10-12-2014,Away,CHI,L,80,105,29,88,0.33,3,14,0.214,19,24,0.792,15,44,16,9,5,11,25,37,79,0.468,8,22,0.364,23,32,0.719,15,57,21,6,11,15,18,0
BRK,21,12-12-2014,Home,PHI,W,88,70,36,81,0.444,5,20,0.25,11,17,0.647,13,47,25,16,5,17,15,22,69,0.319,11,28,0.393,15,20,0.75,10,37,18,10,4,23,20,1
BRK,22,13-12-2014,Away,CHO,W,114,87,42,72,0.583,16,23,0.696,14,20,0.7,4,43,29,4,4,13,24,31,79,0.392,8,22,0.364,17,27,0.63,9,34,16,3,4,6,19,1
BRK,23,16-12-2014,Home,MIA,L,91,95,30,77,0.39,8,28,0.286,23,32,0.719,11,37,25,9,2,17,26,33,72,0.458,9,24,0.375,20,26,0.769,7,41,20,9,2,18,23,0
BRK,24,17-12-2014,Away,TOR,L,89,105,35,81,0.432,9,27,0.333,10,22,0.455,14,43,20,3,8,13,16,41,80,0.513,10,20,0.5,13,19,0.684,11,42,24,6,4,9,21,0
BRK,25,19-12-2014,Away,CLE,L,91,95,37,78,0.474,9,24,0.375,8,12,0.667,4,37,23,8,8,16,26,31,77,0.403,9,24,0.375,24,29,0.828,11,44,22,7,4,16,16,0
BRK,26,21-12-2014,Home,DET,W,110,105,40,76,0.526,8,20,0.4,22,29,0.759,3,37,29,9,4,15,18,40,91,0.44,9,27,0.333,16,26,0.615,18,50,26,10,6,13,22,1
BRK,27,23-12-2014,Home,DEN,W,102,96,43,91,0.473,6,23,0.261,10,14,0.714,12,39,21,10,3,9,19,36,82,0.439,7,25,0.28,17,22,0.773,14,51,15,4,4,18,15,1
BRK,28,26-12-2014,Away,BOS,W,109,107,41,83,0.494,7,21,0.333,20,28,0.714,13,43,19,9,3,15,10,45,87,0.517,9,24,0.375,8,11,0.727,5,37,32,8,3,14,23,1
BRK,29,27-12-2014,Home,IND,L,85,110,28,77,0.364,7,25,0.28,22,27,0.815,5,35,15,2,4,15,20,44,86,0.512,9,18,0.5,13,18,0.722,7,45,33,11,5,10,25,0
BRK,30,29-12-2014,Home,SAC,W,107,99,36,80,0.45,8,21,0.381,27,39,0.692,14,40,20,12,3,9,18,37,76,0.487,9,20,0.45,16,20,0.8,11,44,22,5,3,21,26,1
BRK,31,30-12-2014,Away,CHI,W,96,82,36,83,0.434,6,14,0.429,18,21,0.857,10,46,21,9,5,10,17,33,86,0.384,8,25,0.32,8,15,0.533,13,48,22,5,11,12,18,1
BRK,32,02-01-2015,Away,ORL,W,100,98,41,72,0.569,7,20,0.35,11,18,0.611,4,45,26,7,5,22,16,37,88,0.42,11,22,0.5,13,20,0.65,8,37,22,13,3,11,18,1
BRK,33,04-01-2015,Away,MIA,L,84,88,34,86,0.395,7,24,0.292,9,13,0.692,10,38,18,9,6,11,23,31,67,0.463,5,14,0.357,21,28,0.75,8,42,21,8,9,14,20,0
BRK,34,05-01-2015,Home,DAL,L,88,96,33,84,0.393,3,25,0.12,19,23,0.826,7,52,20,5,7,14,21,37,94,0.394,10,27,0.37,12,19,0.632,14,51,24,8,6,10,17,0
BRK,35,07-01-2015,Home,BOS,L,81,89,30,74,0.405,3,14,0.214,18,26,0.692,11,50,18,3,6,17,18,35,88,0.398,5,18,0.278,14,17,0.824,11,41,22,8,2,6,26,0
BRK,36,09-01-2015,Home,PHI,L,88,90,33,73,0.452,3,16,0.188,19,27,0.704,9,42,21,8,3,17,19,36,79,0.456,8,17,0.471,10,17,0.588,11,38,22,15,4,14,22,0
BRK,37,10-01-2015,Away,DET,L,93,98,37,88,0.42,9,31,0.29,10,10,1,9,46,25,6,2,13,23,34,80,0.425,11,33,0.333,19,26,0.731,9,44,27,8,3,10,10,0
BRK,38,12-01-2015,Home,HOU,L,99,113,39,84,0.464,5,21,0.238,16,18,0.889,11,41,18,7,4,16,18,41,86,0.477,16,40,0.4,15,20,0.75,12,42,22,9,2,14,18,0
BRK,39,14-01-2015,Home,MEM,L,92,103,36,75,0.48,10,26,0.385,10,12,0.833,6,36,19,5,1,18,25,39,83,0.47,3,17,0.176,22,29,0.759,14,41,18,13,3,9,19,0
BRK,40,16-01-2015,Away,WAS,W,102,80,37,81,0.457,4,12,0.333,24,31,0.774,8,39,18,12,4,10,19,31,73,0.425,4,17,0.235,14,16,0.875,8,37,23,6,5,19,26,1
BRK,41,17-01-2015,Home,WAS,L,90,99,36,82,0.439,4,17,0.235,14,18,0.778,11,40,17,6,0,10,20,40,77,0.519,5,16,0.313,14,27,0.519,13,49,23,7,5,13,15,0
BRK,42,21-01-2015,Away,SAC,W,103,100,37,79,0.468,5,20,0.25,24,30,0.8,10,43,22,7,6,14,24,39,84,0.464,5,18,0.278,17,24,0.708,10,42,22,5,2,14,19,1
BRK,43,22-01-2015,Away,LAC,L,84,123,33,88,0.375,4,21,0.19,14,25,0.56,15,40,17,11,3,12,14,49,83,0.59,11,25,0.44,14,21,0.667,9,48,41,8,9,14,17,0
BRK,44,24-01-2015,Away,UTA,L,73,108,29,75,0.387,5,15,0.333,10,16,0.625,8,29,17,10,9,17,17,42,79,0.532,13,29,0.448,11,14,0.786,6,43,23,9,5,15,13,0
BRK,45,28-01-2015,Away,ATL,L,102,113,39,87,0.448,9,24,0.375,15,18,0.833,9,35,26,6,5,8,20,38,82,0.463,12,33,0.364,25,26,0.962,12,45,29,4,4,11,18,0
BRK,46,30-01-2015,Home,TOR,L,122,127,49,101,0.485,4,19,0.211,20,26,0.769,14,50,19,7,4,7,20,47,92,0.511,7,26,0.269,26,30,0.867,9,45,22,5,3,9,21,0
BRK,47,02-02-2015,Home,LAC,W,102,100,41,83,0.494,12,27,0.444,8,18,0.444,10,45,21,4,0,16,27,42,89,0.472,8,23,0.348,8,25,0.32,15,52,23,6,1,12,22,1
BRK,48,04-02-2015,Away,TOR,W,109,93,40,81,0.494,9,19,0.474,20,23,0.87,10,39,24,7,1,8,17,35,79,0.443,10,33,0.303,13,18,0.722,9,38,22,3,4,9,16,1
BRK,49,06-02-2015,Home,NYK,W,92,88,37,74,0.5,3,11,0.273,15,22,0.682,10,47,23,1,10,14,19,34,89,0.382,6,24,0.25,14,17,0.824,13,40,23,8,3,5,22,1
BRK,50,07-02-2015,Away,WAS,L,77,114,26,77,0.338,4,18,0.222,21,31,0.677,13,38,17,8,4,15,20,44,87,0.506,9,20,0.45,17,23,0.739,16,51,31,9,3,14,24,0
BRK,51,09-02-2015,Away,MIL,L,97,103,38,76,0.5,9,25,0.36,12,19,0.632,8,38,25,3,8,15,17,37,89,0.416,7,18,0.389,22,25,0.88,14,44,25,14,4,9,14,0
BRK,52,10-02-2015,Away,MEM,L,86,95,35,81,0.432,3,12,0.25,13,17,0.765,14,46,14,7,5,20,24,36,81,0.444,6,19,0.316,17,25,0.68,12,45,24,14,9,12,19,0
BRK,53,20-02-2015,Away,LAL,W,114,105,42,89,0.472,10,21,0.476,20,24,0.833,13,46,29,7,2,11,20,41,89,0.461,4,23,0.174,19,29,0.655,14,46,22,10,4,10,18,1
BRK,54,23-02-2015,Away,DEN,W,110,82,43,92,0.467,4,21,0.19,20,23,0.87,14,57,21,7,9,10,17,31,94,0.33,7,27,0.259,13,22,0.591,19,49,18,6,3,13,24,1
BRK,55,25-02-2015,Away,NOP,L,96,102,39,92,0.424,7,21,0.333,11,15,0.733,8,37,13,6,6,12,16,38,74,0.514,11,25,0.44,15,19,0.789,6,43,26,6,6,20,21,0
BRK,56,27-02-2015,Away,HOU,L,98,102,38,85,0.447,4,17,0.235,18,20,0.9,12,44,17,8,4,16,21,39,84,0.464,9,32,0.281,15,17,0.882,8,41,26,9,5,13,25,0
BRK,57,28-02-2015,Away,DAL,W,104,94,40,77,0.519,10,23,0.435,14,23,0.609,12,48,20,5,4,14,21,35,82,0.427,9,28,0.321,15,18,0.833,8,37,23,10,3,12,19,1
BRK,58,02-03-2015,Home,GSW,W,110,108,44,89,0.494,10,21,0.476,12,16,0.75,11,38,20,7,1,13,12,42,90,0.467,11,30,0.367,13,18,0.722,17,50,26,11,7,15,20,1
BRK,59,04-03-2015,Home,CHO,L,91,115,35,88,0.398,3,16,0.188,18,24,0.75,12,38,15,6,1,9,24,42,85,0.494,8,19,0.421,23,28,0.821,12,49,24,5,2,11,20,0
BRK,60,06-03-2015,Home,PHO,L,100,108,34,97,0.351,8,22,0.364,24,29,0.828,18,57,21,5,1,20,29,39,91,0.429,3,26,0.115,27,35,0.771,12,51,19,13,2,15,24,0
BRK,61,08-03-2015,Home,UTA,L,88,95,38,76,0.5,8,15,0.533,4,11,0.364,7,30,21,9,2,14,16,34,72,0.472,10,22,0.455,17,21,0.81,12,43,24,6,4,16,12,0
BRK,62,10-03-2015,Home,NOP,L,91,111,35,84,0.417,6,16,0.375,15,23,0.652,12,41,19,5,5,12,12,45,87,0.517,12,21,0.571,9,11,0.818,8,41,31,10,4,10,19,0
BRK,63,11-03-2015,Away,MIA,L,98,104,32,73,0.438,6,17,0.353,28,39,0.718,14,44,15,8,2,21,24,37,81,0.457,6,21,0.286,24,38,0.632,11,39,23,14,3,10,29,0
BRK,64,14-03-2015,Away,PHI,W,94,87,37,84,0.44,2,17,0.118,18,26,0.692,7,45,20,9,5,16,16,35,94,0.372,8,37,0.216,9,14,0.643,12,48,21,7,8,16,25,1
BRK,65,16-03-2015,Away,MIN,W,122,106,52,90,0.578,5,13,0.385,13,17,0.765,13,43,21,8,2,14,15,41,88,0.466,9,15,0.6,15,17,0.882,13,36,27,6,7,16,15,1
BRK,66,18-03-2015,Away,CLE,L,92,117,36,80,0.45,5,20,0.25,15,21,0.714,8,32,23,7,5,11,19,45,82,0.549,15,29,0.517,12,20,0.6,11,43,32,2,3,11,17,0
BRK,67,20-03-2015,Home,MIL,W,129,127,46,107,0.43,11,25,0.44,26,34,0.765,16,53,31,9,7,15,25,49,129,0.38,8,16,0.5,21,29,0.724,38,81,23,11,9,17,31,1
